Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Albidiferax;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus_Planktophila;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI_cluster;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Subgroup_6;unclassified;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Xiphinematobacteraceae;Candidatus_Xiphinematobacter;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;unclassified;,5/21/2016,"""Bacteria taxonomic identified by DNA sequencing data avaliable https://github.com/krmaas/weir.farm.bioblitz.2016""",Weir Farm NHS,41.25612,-73.4556,
