Sample	Site	Area	Type	replicate
deep.sed.wm1	Wier.Marsh	deep	sed	wm1
deep.sed.wm2	Wier.Marsh	deep	sed	wm2
deep.sed.wp2	Weir.Pond	deep	sed	wp2
deep.water.wp1	Weir.Pond	deep	water	wp1
deep.water.wp2	Weir.Pond	deep	water	wp2
wet.soil.1.wm1	Wier.Marsh	wet	soil	wm1
wet.soil.1.wm2	Wier.Marsh	wet	soil	wm2
wet.soil.1.wp1	Weir.Pond	wet	soil	wp1
wet.soil.1.wp2	Weir.Pond	wet	soil	wp2
wet.soil.2.wm1	Wier.Marsh	wet	soil	wm1
wet.soil.2.wm2	Wier.Marsh	wet	soil	wm2
wet.soil.2.wp1	Weir.Pond	wet	soil	wp1
wet.soil.2.wp2	Weir.Pond	wet	soil	wp2
