NA,deep.sed.wm1,deep.sed.wm2,deep.sed.wp2,deep.water.wp1,deep.water.wp2,marsh.sed.wm1,marsh.sed.wm2,marsh.sed.wp1,marsh.water.wp1,marsh.water.wp2,up.soil.1.wm1,up.soil.1.wm2,up.soil.1.wp1,up.soil.1.wp2,up.soil.2.wm1,up.soil.2.wm2,up.soil.2.wp1,up.soil.2.wp2,wet.soil.1.wm1,wet.soil.1.wm2,wet.soil.1.wp1,wet.soil.1.wp2,wet.soil.2.wm1,wet.soil.2.wm2,wet.soil.2.wp1
deep.sed.wm1,,,,,,,,,,,,,,,,,,,,,,,,,
deep.sed.wm2,0.75234,,,,,,,,,,,,,,,,,,,,,,,,
deep.sed.wp2,0.875488,0.864583,,,,,,,,,,,,,,,,,,,,,,,
deep.water.wp1,0.856104,0.902897,0.894282,,,,,,,,,,,,,,,,,,,,,,
deep.water.wp2,0.912021,0.938131,0.927565,0.775926,,,,,,,,,,,,,,,,,,,,,
marsh.sed.wm1,0.77928,0.720853,0.876821,0.917784,0.942473,,,,,,,,,,,,,,,,,,,,
marsh.sed.wm2,0.726416,0.742744,0.887316,0.874367,0.918726,0.75594,,,,,,,,,,,,,,,,,,,
marsh.sed.wp1,0.761743,0.77977,0.866564,0.873168,0.917402,0.783851,0.769884,,,,,,,,,,,,,,,,,,
marsh.water.wp1,0.796504,0.805049,0.860146,0.877792,0.912537,0.813961,0.808283,0.740329,,,,,,,,,,,,,,,,,
marsh.water.wp2,0.880672,0.917155,0.90177,0.79987,0.807143,0.925835,0.896594,0.890035,0.876807,,,,,,,,,,,,,,,,
up.soil.1.wm1,0.918068,0.933556,0.97005,0.948813,0.961546,0.933455,0.904433,0.906762,0.92681,0.957118,,,,,,,,,,,,,,,
up.soil.1.wm2,0.867751,0.88767,0.946171,0.93519,0.954372,0.878915,0.862611,0.861658,0.894483,0.942821,0.77445,,,,,,,,,,,,,,
up.soil.1.wp1,0.884247,0.903233,0.951412,0.937402,0.952592,0.903851,0.88034,0.86765,0.893198,0.944814,0.792973,0.759097,,,,,,,,,,,,,
up.soil.1.wp2,0.926643,0.935922,0.96918,0.955767,0.964619,0.93668,0.918135,0.907407,0.927672,0.964753,0.783835,0.776806,0.762711,,,,,,,,,,,,
up.soil.2.wm1,0.905837,0.919128,0.963067,0.951209,0.96603,0.920711,0.905138,0.887785,0.914039,0.962472,0.754455,0.75005,0.761206,0.709927,,,,,,,,,,,
up.soil.2.wm2,0.889516,0.909079,0.957656,0.936405,0.953187,0.906802,0.878687,0.875905,0.902816,0.940296,0.739789,0.727384,0.753746,0.760695,0.739667,,,,,,,,,,
up.soil.2.wp1,0.920257,0.928047,0.969598,0.952583,0.973902,0.924224,0.917062,0.893437,0.920684,0.963925,0.809862,0.784409,0.76121,0.779188,0.759262,0.774823,,,,,,,,,
up.soil.2.wp2,0.945341,0.953867,0.980651,0.96925,0.976658,0.953002,0.942989,0.930532,0.943746,0.973187,0.807327,0.782003,0.778257,0.724765,0.771938,0.768192,0.781096,,,,,,,,
wet.soil.1.wm1,0.798164,0.78844,0.922061,0.916128,0.950141,0.759923,0.76788,0.79126,0.830239,0.939117,0.885464,0.828125,0.859041,0.899787,0.877996,0.858983,0.891362,0.921533,,,,,,,
wet.soil.1.wm2,0.802629,0.789643,0.918904,0.91454,0.952565,0.774637,0.761447,0.802989,0.847778,0.937126,0.90074,0.854911,0.87134,0.912315,0.890783,0.869482,0.903567,0.933547,0.706486,,,,,,
wet.soil.1.wp1,0.809174,0.792393,0.890335,0.911307,0.95275,0.766162,0.798719,0.757229,0.801523,0.924807,0.901697,0.833939,0.87509,0.906635,0.884894,0.881273,0.896116,0.933558,0.768441,0.790616,,,,,
wet.soil.1.wp2,0.881033,0.886613,0.949268,0.937934,0.957994,0.880989,0.864851,0.848802,0.88185,0.948939,0.778886,0.770179,0.753563,0.802452,0.757484,0.760918,0.765422,0.824504,0.826754,0.847373,0.847525,,,,
wet.soil.2.wm1,0.788918,0.781761,0.911831,0.912219,0.947366,0.74281,0.762004,0.784929,0.821204,0.930337,0.886249,0.826751,0.866719,0.903968,0.874673,0.861322,0.892445,0.925635,0.691612,0.726174,0.750614,0.827052,,,
wet.soil.2.wm2,0.793164,0.769771,0.91092,0.911887,0.946799,0.756477,0.760238,0.783253,0.822326,0.939913,0.883968,0.817249,0.865458,0.899669,0.879128,0.859094,0.892225,0.926527,0.705982,0.719058,0.738764,0.829107,0.701819,,
wet.soil.2.wp1,0.830994,0.791443,0.887653,0.926895,0.957931,0.778007,0.815505,0.784263,0.816112,0.938733,0.915864,0.862642,0.895525,0.92391,0.89934,0.899003,0.910474,0.942156,0.788704,0.808904,0.68171,0.857001,0.772277,0.756445,NA
