NA,deep.sed.wm1,deep.sed.wm2,deep.sed.wp2,deep.water.wp1,deep.water.wp2,marsh.sed.wm1,marsh.sed.wm2,marsh.sed.wp1,marsh.water.wp1,marsh.water.wp2,up.soil.1.wm1,up.soil.1.wm2,up.soil.1.wp1,up.soil.1.wp2,up.soil.2.wm1,up.soil.2.wm2,up.soil.2.wp1,up.soil.2.wp2,wet.soil.1.wm1,wet.soil.1.wm2,wet.soil.1.wp1,wet.soil.1.wp2,wet.soil.2.wm1,wet.soil.2.wm2,wet.soil.2.wp1
deep.sed.wm1,,,,,,,,,,,,,,,,,,,,,,,,,
deep.sed.wm2,0.807142,,,,,,,,,,,,,,,,,,,,,,,,
deep.sed.wp2,0.908502,0.741404,,,,,,,,,,,,,,,,,,,,,,,
deep.water.wp1,0.932291,0.965489,0.976985,,,,,,,,,,,,,,,,,,,,,,
deep.water.wp2,0.93572,0.970326,0.982496,0.112052,,,,,,,,,,,,,,,,,,,,,
marsh.sed.wm1,0.904468,0.341209,0.884039,0.987175,0.989027,,,,,,,,,,,,,,,,,,,,
marsh.sed.wm2,0.655513,0.801309,0.936981,0.93434,0.934855,0.850105,,,,,,,,,,,,,,,,,,,
marsh.sed.wp1,0.782178,0.380414,0.70657,0.955874,0.961459,0.649025,0.805072,,,,,,,,,,,,,,,,,,
marsh.water.wp1,0.662296,0.634718,0.812746,0.916017,0.925282,0.852832,0.720121,0.456556,,,,,,,,,,,,,,,,,
marsh.water.wp2,0.944521,0.972678,0.981898,0.156758,0.034089,0.989374,0.945768,0.964303,0.934064,,,,,,,,,,,,,,,,
up.soil.1.wm1,0.991862,0.96332,0.993155,0.998346,0.999139,0.961321,0.982752,0.965547,0.978228,0.999151,,,,,,,,,,,,,,,
up.soil.1.wm2,0.983696,0.940271,0.985319,0.997683,0.999063,0.944161,0.975935,0.930847,0.963057,0.998899,0.746759,,,,,,,,,,,,,,
up.soil.1.wp1,0.961735,0.886241,0.963668,0.990872,0.992739,0.907611,0.957505,0.865857,0.919209,0.992809,0.758755,0.450543,,,,,,,,,,,,,
up.soil.1.wp2,0.984937,0.926037,0.987064,0.998106,0.998961,0.92711,0.971666,0.927016,0.962241,0.998852,0.522267,0.467275,0.458416,,,,,,,,,,,,
up.soil.2.wm1,0.979603,0.911008,0.983672,0.998278,0.998886,0.911482,0.961672,0.907615,0.956939,0.998755,0.68907,0.502736,0.411366,0.277976,,,,,,,,,,,
up.soil.2.wm2,0.988253,0.949146,0.99039,0.997921,0.998821,0.952112,0.978295,0.950787,0.969883,0.998793,0.365987,0.503734,0.626112,0.301953,0.471757,,,,,,,,,,
up.soil.2.wp1,0.987441,0.94622,0.990632,0.998611,0.999191,0.946361,0.98046,0.943294,0.968007,0.999135,0.663933,0.587423,0.58319,0.413847,0.515394,0.58316,,,,,,,,,
up.soil.2.wp2,0.986977,0.951361,0.989909,0.997742,0.999003,0.950295,0.977473,0.943992,0.968549,0.998983,0.688193,0.375045,0.447471,0.325999,0.420117,0.497062,0.51912,,,,,,,,
wet.soil.1.wm1,0.956887,0.571314,0.952944,0.995438,0.996908,0.420348,0.948175,0.767245,0.910477,0.99637,0.903524,0.889219,0.847658,0.856653,0.834849,0.891339,0.89257,0.897857,,,,,,,
wet.soil.1.wm2,0.948651,0.53124,0.946852,0.993428,0.995068,0.336885,0.942001,0.746106,0.897999,0.994599,0.915459,0.884946,0.850751,0.864562,0.843368,0.902033,0.901207,0.907696,0.171252,,,,,,
wet.soil.1.wp1,0.956412,0.526879,0.900553,0.995047,0.996353,0.400037,0.951283,0.697252,0.898406,0.996195,0.895051,0.870798,0.816354,0.820068,0.81372,0.877937,0.858612,0.875885,0.364759,0.332873,,,,,
wet.soil.1.wp2,0.978618,0.908118,0.982333,0.996875,0.997907,0.905082,0.970753,0.897753,0.94857,0.997801,0.448603,0.554073,0.49194,0.295538,0.448226,0.367338,0.371503,0.46791,0.805915,0.830225,0.757733,,,,
wet.soil.2.wm1,0.956598,0.586483,0.949827,0.995544,0.996812,0.444616,0.942727,0.76401,0.90886,0.996495,0.835121,0.869534,0.806503,0.776315,0.776,0.827812,0.837277,0.847789,0.193264,0.278405,0.315597,0.707925,,,
wet.soil.2.wm2,0.959282,0.575936,0.95461,0.99588,0.997278,0.410482,0.945683,0.768645,0.911948,0.996874,0.808514,0.841505,0.765633,0.718175,0.734492,0.789952,0.795431,0.817017,0.226838,0.219403,0.274416,0.656502,0.160858,,
wet.soil.2.wp1,0.964698,0.567471,0.925409,0.997139,0.998187,0.399554,0.95534,0.754066,0.918363,0.997944,0.892656,0.880325,0.83432,0.823909,0.821313,0.873331,0.855601,0.883351,0.367889,0.314762,0.130739,0.769785,0.337845,0.255467,NA
